Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	191	182
OG0000001	194	194
OG0000002	168	157
OG0000003	181	181
OG0000004	168	168
OG0000005	133	132
OG0000006	121	109
OG0000007	112	101
OG0000008	116	112
OG0000009	125	125
OG0000010	102	99
OG0000011	109	100
OG0000012	108	107
OG0000013	102	94
OG0000014	94	84
OG0000015	103	103
OG0000016	99	98
OG0000017	99	85
OG0000018	106	106
OG0000019	103	103
OG0000020	92	89
OG0000021	101	101
OG0000022	67	66
OG0000023	91	91
OG0000024	74	74
OG0000025	86	86
OG0000026	73	71
OG0000027	85	85
OG0000028	84	84
OG0000029	80	79
OG0000030	83	83
OG0000031	82	82
OG0000032	52	52
OG0000033	80	79
OG0000034	46	14
OG0000035	80	78
OG0000036	85	85
OG0000037	71	71
OG0000038	79	79
OG0000039	78	78
OG0000040	77	77
OG0000041	76	76
OG0000042	81	81
OG0000043	77	74
OG0000044	67	58
OG0000045	72	72
OG0000046	71	71
OG0000047	75	75
OG0000048	71	71
OG0000049	75	75
OG0000050	67	66
OG0000051	65	65
OG0000052	57	56
OG0000053	73	73
OG0000054	55	51
OG0000055	72	72
OG0000056	68	68
OG0000057	63	61
OG0000058	77	77
OG0000059	62	62
OG0000060	65	64
OG0000061	62	62
OG0000062	65	63
OG0000063	66	63
OG0000064	67	66
OG0000065	69	69
OG0000066	56	55
OG0000067	46	8
OG0000068	68	67
OG0000069	63	63
OG0000070	66	66
OG0000071	70	70
OG0000072	64	64
OG0000073	65	65
OG0000074	65	65
OG0000075	63	63
OG0000076	60	60
OG0000077	46	45
OG0000078	59	58
OG0000079	63	63
OG0000080	62	62
OG0000081	57	57
OG0000082	61	61
OG0000083	59	59
OG0000084	53	53
OG0000085	51	42
OG0000086	56	56
OG0000087	60	60
OG0000088	64	64
OG0000089	59	59
OG0000090	59	59
OG0000091	58	58
OG0000092	58	58
OG0000093	64	64
OG0000094	57	57
OG0000095	57	57
OG0000096	54	54
OG0000097	56	56
OG0000098	56	56
OG0000099	57	57
OG0000100	53	53
OG0000101	58	58
OG0000102	56	55
OG0000103	54	53
OG0000104	56	56
OG0000105	56	56
OG0000106	56	56
OG0000107	56	56
OG0000108	53	52
OG0000109	57	57
OG0000110	55	55
OG0000111	53	53
OG0000112	50	50
OG0000113	53	53
OG0000114	60	60
OG0000115	54	54
OG0000116	54	54
OG0000117	54	54
OG0000118	46	46
OG0000119	50	50
OG0000120	53	53
OG0000121	53	53
OG0000122	53	53
OG0000123	58	58
OG0000124	49	49
OG0000125	58	58
OG0000126	51	50
OG0000127	49	49
OG0000128	49	49
OG0000129	53	53
OG0000130	56	56
OG0000131	56	56
OG0000132	46	44
OG0000133	49	49
OG0000134	45	41
OG0000135	52	52
OG0000136	48	48
OG0000137	51	51
OG0000138	47	45
OG0000139	50	50
OG0000140	43	38
OG0000141	48	48
OG0000142	50	50
OG0000143	39	39
OG0000144	50	50
OG0000145	49	42
OG0000146	50	50
OG0000147	44	44
OG0000148	47	46
OG0000149	47	42
OG0000150	45	45
OG0000151	41	38
OG0000152	51	51
OG0000153	49	49
OG0000154	52	52
OG0000155	53	53
OG0000156	41	41
OG0000157	48	48
OG0000158	48	48
OG0000159	48	48
OG0000160	50	50
OG0000161	48	48
OG0000162	48	48
OG0000163	48	48
OG0000164	47	45
OG0000165	47	45
OG0000166	47	47
OG0000167	40	40
OG0000168	46	46
OG0000169	47	47
OG0000170	48	48
OG0000171	47	47
OG0000172	47	47
OG0000173	46	46
OG0000174	38	38
OG0000175	48	48
OG0000176	46	46
OG0000177	46	44
OG0000178	46	44
OG0000179	45	44
OG0000180	38	37
OG0000181	45	45
OG0000182	42	42
OG0000183	46	46
OG0000184	41	41
OG0000185	46	46
OG0000186	46	46
OG0000187	48	48
OG0000188	48	48
OG0000189	45	45
OG0000190	44	43
OG0000191	49	49
OG0000192	52	52
OG0000193	51	51
OG0000194	46	46
OG0000195	45	45
OG0000196	41	41
OG0000197	44	44
OG0000198	42	42
OG0000199	31	29
OG0000200	47	47
OG0000201	44	44
OG0000202	45	45
OG0000203	45	45
OG0000204	43	43
OG0000205	48	48
OG0000206	48	48
OG0000207	49	49
OG0000208	44	44
OG0000209	46	46
OG0000210	44	44
OG0000211	22	14
OG0000212	44	44
OG0000213	42	42
OG0000214	40	40
OG0000215	44	43
OG0000216	42	42
OG0000217	44	44
OG0000218	42	42
OG0000219	45	45
OG0000220	38	38
OG0000221	43	42
OG0000222	43	43
OG0000223	36	33
OG0000224	44	44
OG0000225	38	38
OG0000226	45	45
OG0000227	43	42
OG0000228	42	42
OG0000229	42	42
OG0000230	42	42
OG0000231	42	42
OG0000232	36	36
OG0000233	42	42
OG0000234	42	42
OG0000235	39	39
OG0000236	41	41
OG0000237	41	41
OG0000238	42	42
OG0000239	45	45
OG0000240	39	38
OG0000241	38	37
OG0000242	40	39
OG0000243	41	41
OG0000244	41	41
OG0000245	41	41
OG0000246	41	41
OG0000247	41	41
OG0000248	41	41
OG0000249	46	46
OG0000250	39	39
OG0000251	38	38
OG0000252	37	37
OG0000253	29	28
OG0000254	37	36
OG0000255	37	37
OG0000256	39	39
OG0000257	41	41
OG0000258	37	37
OG0000259	36	36
OG0000260	42	42
OG0000261	38	30
OG0000262	45	45
OG0000263	37	37
OG0000264	43	43
OG0000265	40	40
OG0000266	45	45
OG0000267	37	36
OG0000268	43	43
OG0000269	37	37
OG0000270	37	37
OG0000271	36	36
OG0000272	36	36
OG0000273	40	40
OG0000274	31	28
OG0000275	38	38
OG0000276	39	39
OG0000277	35	35
OG0000278	38	36
OG0000279	39	39
OG0000280	38	38
OG0000281	37	37
OG0000282	38	38
OG0000283	38	38
OG0000284	36	36
OG0000285	36	36
OG0000286	37	34
OG0000287	44	44
OG0000288	43	43
OG0000289	43	43
OG0000290	43	43
